accessed_at,addressText,allEmails,allPhones,bestEmail,bestPhone,contactPage,created_at,emails,error,evidence,evidenceCompact,finalUrl,id,inputUrl,item_count,modified_at,name,phones,socialLinks,status
,,,,,,,,[],,[],,https://example.com/,,https://example.com,,,,[],{},PARTIAL
2026-01-18 20:54:43.583263+00:00,,,,,,,2026-01-18 20:54:43.581326+00:00,,,,,,CpNXnkt9g2ChP2z4m,,1,2026-01-18 20:54:43.583263+00:00,,,,
